age,sex,n,cohort,Percentage
0,Females,293098,ONS,1.03
0,Males,308815,ONS,1.0999999999999999
1,Females,304098,ONS,1.06
1,Males,321378,ONS,1.15
2,Females,316666,ONS,1.11
2,Males,333560,ONS,1.1900000000000002
3,Females,326927,ONS,1.1400000000000001
3,Males,344089,ONS,1.23
4,Females,336364,ONS,1.18
4,Males,354452,ONS,1.27
5,Females,335535,ONS,1.17
5,Males,353655,ONS,1.26
6,Females,338730,ONS,1.1900000000000002
6,Males,356004,ONS,1.27
7,Females,345954,ONS,1.21
7,Males,363986,ONS,1.3
8,Females,356419,ONS,1.25
8,Males,374129,ONS,1.34
9,Females,348459,ONS,1.22
9,Males,366587,ONS,1.31
10,Females,342943,ONS,1.2
10,Males,360144,ONS,1.29
11,Females,337660,ONS,1.18
11,Males,355213,ONS,1.27
12,Females,340266,ONS,1.1900000000000002
12,Males,358555,ONS,1.28
13,Females,329091,ONS,1.15
13,Males,347682,ONS,1.24
14,Females,323745,ONS,1.13
14,Males,340280,ONS,1.22
15,Females,310632,ONS,1.09
15,Males,327124,ONS,1.17
16,Females,305653,ONS,1.0699999999999998
16,Males,322370,ONS,1.15
17,Females,297528,ONS,1.04
17,Males,315497,ONS,1.13
18,Females,293850,ONS,1.03
18,Males,312761,ONS,1.1199999999999999
19,Females,306756,ONS,1.0699999999999998
19,Males,323700,ONS,1.16
20,Females,315496,ONS,1.0999999999999999
20,Males,337659,ONS,1.21
21,Females,328567,ONS,1.15
21,Males,350920,ONS,1.25
22,Females,335796,ONS,1.18
22,Males,358420,ONS,1.28
23,Females,349599,ONS,1.22
23,Males,370801,ONS,1.3299999999999998
24,Females,351363,ONS,1.23
24,Males,373901,ONS,1.34
25,Females,353228,ONS,1.24
25,Males,371883,ONS,1.3299999999999998
26,Females,363407,ONS,1.27
26,Males,382502,ONS,1.37
27,Females,365436,ONS,1.28
27,Males,381754,ONS,1.3599999999999999
28,Females,379850,ONS,1.3299999999999998
28,Males,388663,ONS,1.39
29,Females,385156,ONS,1.35
29,Males,399614,ONS,1.43
30,Females,379113,ONS,1.3299999999999998
30,Males,392851,ONS,1.4000000000000001
31,Females,379925,ONS,1.3299999999999998
31,Males,384813,ONS,1.38
32,Females,387224,ONS,1.3599999999999999
32,Males,385952,ONS,1.38
33,Females,381253,ONS,1.3299999999999998
33,Males,372700,ONS,1.3299999999999998
34,Females,380725,ONS,1.3299999999999998
34,Males,380096,ONS,1.3599999999999999
35,Females,380382,ONS,1.3299999999999998
35,Males,378573,ONS,1.35
36,Females,373787,ONS,1.31
36,Males,367247,ONS,1.31
37,Females,376713,ONS,1.32
37,Males,369196,ONS,1.32
38,Females,376427,ONS,1.32
38,Males,367387,ONS,1.31
39,Females,377931,ONS,1.32
39,Males,370566,ONS,1.32
40,Females,378222,ONS,1.32
40,Males,371661,ONS,1.3299999999999998
41,Females,361624,ONS,1.27
41,Males,358524,ONS,1.28
42,Females,336647,ONS,1.18
42,Males,335609,ONS,1.2
43,Females,331442,ONS,1.16
43,Males,329766,ONS,1.18
44,Females,338100,ONS,1.18
44,Males,334708,ONS,1.2
45,Females,344586,ONS,1.21
45,Males,340715,ONS,1.22
46,Females,350995,ONS,1.23
46,Males,345236,ONS,1.23
47,Females,365074,ONS,1.28
47,Males,359601,ONS,1.29
48,Females,380075,ONS,1.3299999999999998
48,Males,374360,ONS,1.34
49,Females,394701,ONS,1.38
49,Males,383296,ONS,1.37
50,Females,384751,ONS,1.35
50,Males,374154,ONS,1.34
51,Females,393563,ONS,1.38
51,Males,382152,ONS,1.37
52,Females,392445,ONS,1.37
52,Males,381638,ONS,1.3599999999999999
53,Females,395838,ONS,1.39
53,Males,388278,ONS,1.39
54,Females,397436,ONS,1.39
54,Males,385096,ONS,1.38
55,Females,398256,ONS,1.39
55,Males,386043,ONS,1.38
56,Females,393381,ONS,1.38
56,Males,381939,ONS,1.3599999999999999
57,Females,383788,ONS,1.34
57,Males,372235,ONS,1.3299999999999998
58,Females,373754,ONS,1.31
58,Males,363185,ONS,1.3
59,Females,360010,ONS,1.26
59,Males,349191,ONS,1.25
60,Females,344951,ONS,1.21
60,Males,333011,ONS,1.1900000000000002
61,Females,336192,ONS,1.18
